"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_H52",8.239,0.108,8.836,0.359,0.571,0.184,1.603,0.997,82.771,44.133,12.092,25.131,93.584,182.171,9.468,66.846,73.599,151.535,19.893,131.404,616.913,89.041,143.5,45.424,10.9,20.229,135.983,90.771,3.793,113.659,826.829,80.075,161.632,369.805,169.176,10.064,52.997,10.011,23.168,4.935,2.423,1.95,11.284,5.974,57.679,5.51,21.879,1.645,3.43,0,675.57,0.775,14.357,216.822,0.54,94.055,0,0,0,5006.325
"IMP_H53",0.169,0.001,0.076,0.007,0.005,0.004,0.035,0.028,0.853,0.395,0.131,0.36,0.314,0.976,0.137,0.409,0.432,0.923,0.214,0.733,6.05,0.604,1.244,0.269,0.073,0.118,0.682,0.63,0.249,1.949,10.557,0.419,0.193,0.549,0.99,2.228,13.924,0.42,0.969,0.512,2.324,0.957,1.797,0.735,4.313,0.757,0.914,0.296,0.975,0,21.797,0.006,0.251,3.066,0,37.235,0,0,0,124.256
"IMP_I",1.299,0.001,0.093,0.005,0.014,0.003,0.033,0.018,3.051,0.333,0.128,0.312,0.906,2.341,0.182,0.432,0.304,0.868,0.331,0.427,6.924,0.428,0.735,0.273,0.079,0.097,0.73,0.479,0.12,1.139,1.912,0.424,0.098,0.76,0.142,0.024,1.929,1.347,0.556,0.267,0.307,0.403,1.253,0.304,1.276,0.187,0.875,0.607,0.894,0,25.75,0.581,5.941,5.443,0,2091.09,0,0,0,2164.455
"IMP_J58T60",1.856,0.023,0.303,0.021,0.106,0.015,0.14,0.089,9.153,3.487,1.212,2.645,2.636,14.762,1.891,3.785,2.81,2.995,1.967,3.796,151.852,6.711,11.828,3.638,1.373,3.453,8.514,1.7,1.864,16.271,77.693,5.42,0.579,5.309,2.547,0.534,9.048,592.353,123.829,51.57,10.698,15.622,360.212,51.702,45.229,91.78,15.025,55.231,146.693,0,812.225,4.692,109.525,700.208,0.17,124.738,0,0,0,3673.527
"IMP_J61",0.496,0.017,0.309,0.01,0.081,0.007,0.057,0.055,3.843,2.661,0.408,4.746,0.457,5.696,0.59,2.94,2.896,1.791,0.784,4.645,56.184,4.56,11.15,1.723,0.658,1.008,4.9,0.376,1.645,20.114,70.33,4.586,0.439,3.695,2.613,0.833,15.75,7.847,121.776,52.025,19.539,11.06,26.597,10.652,34.76,10.831,20.138,4.023,27.264,0,471.082,0.071,1.044,29.035,0.04,470.061,0,0,0,1550.898
"IMP_J62_63",1.756,0.063,0.313,0.078,0.265,0.054,0.5,0.343,46.726,14.881,3.259,16.567,4.312,50.288,7.249,27.349,12.679,15.55,3.276,11.122,508.759,40.518,31.207,20.424,5.333,7.632,46.619,2.151,10.269,69.971,838.032,12.095,1.217,50.48,11.052,6.044,138.28,67.063,65.951,972.785,235.85,231.311,225.544,78.393,244.358,52.953,76.763,20.967,42,0,237.591,0.47,7.926,2691.746,0.19,33.598,0,0,0,7302.177
"IMP_K",13.814,0.048,3.268,0.281,1.103,0.169,1.607,1.378,56.651,35.707,6.257,32.408,3.933,79.027,12.273,39.849,32.094,64.087,28.1,68.653,659.055,56.043,79.411,35.501,7.531,13.676,36.098,7.039,16.506,117.426,469.116,28.698,4.721,25.154,16.283,5.074,68.437,12.644,24.487,30.567,1203.873,533.332,68.321,49.727,191.617,22.844,41.53,14.454,21.77,0,1627.48,1.945,35.352,27.96,0,448.244,0,0,0,6482.624
"IMP_L",0.113,0.003,0.089,0.009,0.061,0.007,0.057,0.044,0.874,0.437,0.123,0.438,12.795,1.327,0.142,0.442,0.807,0.597,0.237,0.831,14.089,0.934,0.924,0.748,0.101,0.183,0.86,5.995,0.218,3.87,12.548,0.945,0.552,2.003,0.83,0.117,4.032,0.581,0.935,0.92,1.429,2.574,2.402,0.783,3.242,0.4,1.245,0.638,0.612,0,3.445,0.109,0.43,18.344,0,1947.469,0,0,0,2053.94
"IMP_M",17.246,0.285,0.515,0.811,2.341,0.854,5.231,5.914,85.487,28.076,7.837,40.788,12.541,91.684,24.533,46.083,37.487,41.548,26.364,44.662,1282.386,90.841,90.223,52.814,23.113,27.398,76.332,10.076,26.402,1035.849,827.967,26.152,1.263,11.431,17.296,9.803,50.172,85.173,53.585,80.665,190.84,564.359,454.415,90.195,622.452,22.614,69.616,24.783,98.694,0,165.809,8.733,77.815,1285.8,0.38,207.695,0,0,0,8283.427
"IMP_N",2.454,0.788,19.948,0.12,13.087,0.085,0.913,0.899,75.68,46.855,4.806,32.609,6.061,105.555,15.963,28.651,165.621,37.806,27.788,70.699,2858.068,94.531,57.882,124.213,4.203,19.425,56.621,2.84,38.995,307.783,871.694,162.872,78.163,378.011,91.245,10.979,148.679,28.897,214.226,63.711,89.237,89.733,226.491,104.473,634.527,75.858,111.545,16.311,13.668,0,164.147,1.157,18.827,54.021,0.1,366.908,0,0,0,8236.431
"IMP_O",1.535,0.002,0.11,0.013,0.025,0.009,0.079,0.064,4.8,0.716,0.243,0.575,1.042,3.937,0.298,1.119,1.025,1.734,0.329,1.586,13.955,1.715,8.261,0.733,0.488,0.447,3.547,0.7,0.312,6.042,9.154,0.681,1.092,2.44,1.231,0.207,1.965,1.064,0.551,3.107,2.169,1.703,2.119,0.675,2.807,0.504,1.576,0.393,0.781,0,24.218,0.256,3.416,56.222,0.1,68.515,0,0,0,242.391
"IMP_P",0.312,0.001,0.038,0.005,0.009,0.003,0.032,0.02,0.962,0.444,0.091,0.689,0.344,3.232,0.144,0.678,0.315,0.484,0.172,0.414,6.035,0.505,0.712,0.297,0.084,0.105,1.012,0.256,0.139,1.359,4.721,0.255,0.252,0.528,0.266,0.213,1.022,1.01,0.373,4.048,1.258,1.121,1.725,0.578,3.029,0.562,1.179,0.2,0.498,0,8.542,0.088,1.963,55.847,0,1380.823,0,0,0,1488.994
"IMP_Q",0.177,0,0.034,0.002,0.007,0.002,0.015,0.01,0.465,0.239,0.038,0.135,0.23,1.476,0.32,0.319,0.204,0.375,0.134,0.385,7.398,0.651,1.367,0.215,0.114,0.107,1.062,0.124,0.081,1.198,1.499,0.177,0.129,0.434,0.159,0.019,0.379,0.122,0.141,0.499,0.201,0.252,0.467,0.173,0.755,0.179,1.982,0.075,0.133,0,6.306,0.008,2.073,12.154,0.01,410.138,0,0,0,455.346
"IMP_R",0.41,0.005,0.054,0.002,0.02,0.002,0.014,0.01,1.79,0.682,0.106,0.553,0.13,1.853,0.293,0.566,0.467,0.543,0.304,0.907,9.353,0.779,1.384,0.54,0.165,0.28,2.692,0.088,0.165,2.515,20.105,0.445,0.126,0.674,0.336,0.044,1.329,24.923,0.631,1.146,1.441,6.174,20.734,1.408,24.019,1.138,1.591,21.712,32.146,0,747.838,32.961,285.097,56.399,0,878.858,0,0,0,2187.948
"IMP_S",0.469,0.001,0.056,0.004,0.009,0.003,0.024,0.014,1.347,0.875,0.113,0.285,0.431,2.57,0.214,0.521,0.387,1.101,0.25,0.628,8.946,0.621,1.151,0.309,0.147,0.197,1.064,0.47,0.113,1.424,2.73,0.395,0.292,1.074,0.34,0.03,0.862,0.404,0.225,0.725,0.25,0.295,0.666,0.222,0.84,0.23,1.16,0.138,0.22,0,11.855,0.039,1.391,8.73,0.01,480.991,0,0,0,537.86
"IMP_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMP_OTHER",0.691,0.028,2.911,0.577,0.777,0.397,3.944,2.263,-5.399,50.234,2.494,15.23,394.874,186.085,10.81,35.418,16.696,53.366,26.481,36.852,566.825,60.805,72.822,73.145,12.99,17.3,56.109,181.994,5.412,95.877,77.125,22.28,4.392,27.318,5.511,2.004,20.411,5.573,8.53,9.178,7.117,8.304,21.834,10.424,26.235,8.496,62.73,4.404,7.4,0,537.188,0.347,58.887,574.71,1.47,1246.254,0,0,0,4736.129
"TXS_INT_FNL",-33.711,0.359,17.993,2.056,1.413,1.403,13.652,8.506,-268.875,72.732,5.986,65.638,17.132,105.022,17.397,99.341,58.807,-45.981,40.271,-57.792,817.88,96.486,58.115,46.493,37.328,70.366,144.924,6.586,36.064,336.856,600.396,90.061,7.47,16.996,33.967,24.239,329.503,70.406,49.575,47.994,82.991,244.461,197.613,77.14,269.09,101.128,356.487,63.492,143.643,0,9953.556,47.48,639.998,7853.992,12.395,0,495.156,941.671,0,24523.348
"TTL_INT_FNL",9759.209,25.188,1540.231,139.208,172.18,90.896,938.323,511.423,26650.571,13936.477,1440.736,9263.801,38103.408,72686.56,2766.538,14761.82,10668.943,45127.995,12361.924,28841.004,181037.811,21469.463,30093.034,12371.283,13451.563,11612.803,20178.193,22901.259,5417.332,54451.609,45878.166,7451.548,6788.904,6892.497,3553.415,1561.353,19730.21,5183.995,5370.831,6942.576,21216.978,19771.449,13364.901,5847.788,19815.64,5707.151,14065.162,2986.038,9445.666,0,322818.511,5579.024,105949.692,213652.245,359.615,16582.488,11062.907,490220.376,0,2050569.909
"VALU",9002.979,39.316,1213.678,122.935,392.142,90.133,778.548,416.602,11265.85,5235.503,470.096,3647.544,2456.908,12843.294,2317.774,6805.854,4239.688,9618.699,2546.919,12789.3,147966.937,6446.284,10598.521,5015.361,4487.267,4471.392,8800.786,3802.04,4010.505,23313.648,116000.354,7374.37,10917.864,2838.577,5957.474,1642.311,17196.21,3725.297,7407.339,11544.996,47007.5,56670.64,17000.38,12138.612,40392.79,25209.201,22196.437,5532.236,16142.757,4188.055,0,0,0,0,0,0,0,0,0,736289.903
"OUTPUT",18762.188,64.504,2753.909,262.143,564.322,181.029,1716.871,928.025,37916.42,19171.98,1910.833,12911.345,40560.316,85529.853,5084.312,21567.674,14908.631,54746.693,14908.843,41630.304,329004.748,27915.747,40691.555,17386.644,17938.83,16084.195,28978.98,26703.3,9427.838,77765.257,161878.52,14825.918,17706.768,9731.074,9510.889,3203.664,36926.42,8909.291,12778.17,18487.571,68224.479,76442.089,30365.281,17986.4,60208.43,30916.352,36261.598,8518.274,25588.423,4188.055,0,0,0,0,0,0,0,0,0,1620634.955
